year,title,author,genre,description,book_picture,amazon_link
2022,The Individualists,"Matt Zwolinski, John Tomasi",Nonfiction,"Zwolinski, a philosopher at the University of San Diego, and Tomasi, a political theorist at Brown, are committed libertarians who are appalled at the movement’s turn toward a harder-edged conservatism. Their book is a deep plunge into the ideology’s archives, in search of a “primordial libertarianism” that preceded the Cold War. They contend that the profound skepticism toward government and the political absolutism that characterize libertarians have animated movements across the political spectrum, and have, in the past, sometimes led adherents in progressive directions rather than conservative ones. As they see it, libertarianism once had a left-of-center valence—one that could still be reclaimed.","https://media.newyorker.com/photos/647f82f687ae684cabca59ac/master/w_1000,c_limit/the individualists.jpeg",https://cna.st/affiliate-link/5dDTGqLnohkLFc17RphfxZGSJmuLoK67vvMzT4r82396SnKvS9Ac8APqb6K13Cj2KmuQ1bB5vra9oCQLekYQ3KG3K
2022,Western Lane,Chetna Maroo,Fiction,"When three adolescent sisters in an Indian immigrant family in England lose their mother unexpectedly, in this début novel, their father, unable to process his grief, hopes that playing squash will provide his daughters with structure. “What he saw was the days stretching ahead of him without Ma, with us,” Gopi, the youngest, and the most talented player, observes. “All I could do was serve and volley or disappoint him.” The family is isolated, but a tournament provides a means for Gopi to connect with her father and transcend limitations. “A clean hit can stop time,” Gopi says. “Sometimes it can feel like the only peace there is.”","https://media.newyorker.com/photos/63fe739db77763bed4c06087/master/w_1000,c_limit/western lane.jpeg",https://cna.st/affiliate-link/5dDTGqLnohkLFc17RphfxZGSJmuLoK67vvMzT4r82396SnKvS9Ac8APqb6K13Cj2KmuQ1bB5vra9oABYoSkJAgktK
2022,Young Bloomsbury,Nino Strachey,Nonfiction,"This lively group biography offers an intimate glimpse of the Bright Young Things, the artistic coterie that emerged in the nineteen-twenties as successors to the prewar Bloomsburyites. Members included Eddy Sackville-West, a novelist and cousin of Virginia Woolf’s lover Vita Sackville-West, and John Strachey, a journalist and cousin of Lytton Strachey. The author, herself a member of the Strachey clan, sees “transgressive sociability” as a hallmark of this generation, whose members were proto-“social influencers” and moved “seamlessly between gallery, studio, and nightclub.” She applauds the group’s embrace of sexual freedom, which gave queer members a sense of “life-affirming normality in a generally hostile adult world” and fostered “an inclusive way of living not seen again for another century.”","https://media.newyorker.com/photos/63f4f18e5d5af11b956ee0a3/master/w_1000,c_limit/young bloomsbury.jpeg",https://cna.st/affiliate-link/5dDTGqLnohkLFc17RphfxZGSJmuLoK67vvMzT4r82396SnKvS9Ac8APqb6K13Cj2KmuQ1bB5vra9rVcNquobBexo9
2022,Morgenthau,Andrew Meier,Nonfiction,"Opening in 1866 in New York with the arrival from Germany of Lazarus Morgenthau, a Bavarian Jew who’d lost a cigar empire to American tariffs, this book traces the ups and downs (but mostly ups) of the family’s fortunes over four generations, providing a window on a century and a half of the city’s history. Lazarus’s son Henry was a lawyer, a real-estate baron, and a diplomat, whose son Henry, Jr., served Franklin Roosevelt as Treasury Secretary; _his_ son, Robert, was the city’s longest-serving District Attorney, who oversaw some three million cases. There’s enough here for four separate biographies, but Meier ably synthesizes the various strands, finding family likenesses among his disparate subjects.","https://media.newyorker.com/photos/63f4f18d5d5af11b956ee0a1/master/w_1000,c_limit/morgenthau.jpeg",https://cna.st/affiliate-link/5dDTGqLnohkLFc17RphfxZGSJmuLoK67vvMzT4r82396SnKvS9Ac8APqb6K13Cj2KmuQ1bB5vra9rRtwZ8RGUZjtk
2022,My Phantoms,Gwendoline Riley,Fiction,"This short, savage novel depicts the sins of inadequate mothers and fathers with vengeful clarity. Bridget, the narrator, is a young, bookish woman who’s living in London and struggling to gain independence from her long-separated parents. Her father is a cruel boor, her mother is a damaged fool. Riley’s prose is confidently exact; with a few words, she can paint a dreary English January, a cramped Glasgow flat, or some breathtaking desolation. “I didn’t, as a rule, talk to her about anything that mattered to me,” Bridget says of her mother. “Why upset her by talking about things she couldn’t understand or enjoy?” With a quick eye for details, Riley renders a middle England full of petit-bourgeois anxieties and wounded people desperate to be normal, laying bare the dynamics of damage and survival.","https://media.newyorker.com/photos/63ebe17b37967d9f2e5f6154/master/w_1000,c_limit/my phantoms.jpeg",https://cna.st/affiliate-link/5dDTGqLnohkLFc17RphfxZGSJmuLoK67vvMzT4r82396SnKvS9Ac8APqb6K13Cj2KmuQ1bB5vra9rTPvF8demgB2T
2022,City of Newsmen,Kathryn J. McGarr,Nonfiction,"McGarr, a historian at the University of Wisconsin-Madison, weighs the performance of the Washington press corps during the first decades of the Cold War, employing a close examination of archived correspondence to show that reporters in the nation’s capital knew perfectly well that officials were misleading them about national-security matters. McGarr believes that the press kept mum because they believed in what they saw as the central mission of Cold War policy: the defense of the North Atlantic community of nations. Even though newspapers were nominally in competition with one another, she writes, reporters and editors were subject to what she calls “horizontal pressure”—pressure to remain on good terms with their sources and their fellow-newsmen. The work of a thoughtful historian, “City of Newsmen” contemplates the relationship between government officials and the media by considering their societal role against the backdrop of a historical moment.","https://media.newyorker.com/photos/63e2a2994138f62754b708d5/master/w_1000,c_limit/city of newsmen.jpeg",https://cna.st/affiliate-link/5dDTGqLnohkLFc17RphfxZGSJmuLoK67vvMzT4r82396SnKvS9Ac8APqb6K13Cj2KmuQ1bB5vra9o9RtrH62bKZ5Z
2022,Cursed Bunny,Bora Chung,Fiction,"The ten disquieting, bloody tales in this collection conjure a pitiless, almost folkloric world. A bunny-shaped lamp acts as a “cursed fetish” that extinguishes generations of a family and their misbegotten liquor empire; a woman who cannot find a father for her suddenly growing fetus is condemned to birth a “slightly iron-smelling, enormous blood clot.” In Chung’s universe of inventive horrors, brutality is endemic, and yet lyricism finds its place—in, for instance, a woman who is “transformed into thousands of water droplets and scattered into thin air,” or in the eye of a slain monster which is “shockingly deep and clear, and cruel.”","https://media.newyorker.com/photos/63e2a2999f30f7b8048d56ef/master/w_1000,c_limit/cursed bunny.jpeg",https://cna.st/affiliate-link/5dDTGqLnohkLFc17RphfxZGSJmuLoK67vvMzT4r82396SnKvS9Ac8APqb6K13Cj2KmuQ1bB5vra9rTPFWsXTz9FCq
2022,How Far the Light Reaches,Sabrina Imbler,Nonfiction,"Marine biology, cultural criticism, and memoir blend in this agile collection of essays, which brims with illuminating connections: between a potentially immortal jellyfish that is “always reinventing itself” and Imbler’s own sense of metamorphosis as a queer, biracial person; between the sand striker, an “ambush predator,” and a man who took advantage of Imbler during adolescence; between Imbler’s mother and an octopus species that starves to death while brooding eggs. Like the cuttlefish, which can change appearance “in a fraction of a second,” the book has a protean quality, and the way Imbler pays attention to animals living “an alternative way of life” without excessively anthropomorphizing them starts to seem like an ethical act.","https://media.newyorker.com/photos/63e2a29a4138f62754b708d7/master/w_1000,c_limit/how far the light reaches.jpeg",https://cna.st/affiliate-link/5dDTGqLnohkLFc17RphfxZGSJmuLoK67vvMzT4r82396SnKvS9Ac8APqb6K13Cj2KmuQ1bB5vra9oAAYfo8m34BgZ
2022,Of Boys and Men,Richard Reeves,Nonfiction,"A British American scholar of inequality and social mobility, Reeves argues that the rapid liberation of women and the labor-market shift toward brains and away from brawn have left men bereft of what one sociologist has called ""“ontological security.”"" In Reeves’' view, men’s struggles are not reducible to a masculinity that is too toxic or too enfeebled but, rather, reflect the workings of the same structural forces that apply to every other group. A self-described “conscientious objector in the culture wars,” he aims to skip past moralizing and analyze men in the state that he finds them: beset by bewildering changes that they cannot adapt to. “Suddenly, working for gender equality means focusing on boys rather than girls,” he contends.","https://media.newyorker.com/photos/63d963087308263e9d096c3d/master/w_1000,c_limit/of boys and men.jpeg",https://cna.st/affiliate-link/5dDTGqLnohkLFc17RphfxZGSJmuLoK67vvMzT4r82396SnKvS9Ac8APqb6K13Cj2KmuQ1bB5vra9oDreEcTniZeBG
2022,Hatching,Jenni Quilter,Nonfiction,"Quilter’s memoir of conceiving a child through I.V.F. provides a history of the treatment and a sharp interrogation of her experiences. Recalling that she came to I.V.F. “driven by grief and fear and desire to take a course of action that is hard enough to endure, let alone question at the same time,” she asks how much of the yearning for a child is personal and how much is historically and culturally conditioned. How do we rethink reproductive technologies so that they don’t reproduce conservative ideas of motherhood, class, and race? Quilter notes that I.V.F. “anticipates the general tone of motherhood before you are even pregnant because it anticipates, even mimics, the notion of justified pain.”","https://media.newyorker.com/photos/63c7016b2abc40da231a9dd2/master/w_1000,c_limit/hatching.jpeg",https://cna.st/affiliate-link/5dDTGqLnohkLFc17RphfxZGSJmuLoK67vvMzT4r82396SnKvS9Ac8APqb6K13Cj2KmuQ1bB5vra9oD8A7iS7cu8Bh
